"Year","max"
"2016",8475976
"2015",8468181
"2017",8438271
"2014",8437387
"2018",8398748
"2013",8398739
"2012",8348032
"2019",8336817
"2020",8336817
"2011",8272963
"2010",8175133
"2009",8158447.5
"2008",8141762
"2007",8125076.5
"2006",8108391
"2005",8091705.5
"2004",8075020
"2003",8058334.5
"2002",8041649
"2001",8024963.5
"2000",8008278
"1999",7947660
"1998",7858259
"1997",7773443
"1996",7697812
"1995",7633040
"1994",7570458
"1993",7506166
"1992",7428944
"1991",7374501
"1988",7353719
"1989",7344175
"1987",7342476
"1990",7335650
"1986",7319246
"1985",7274054
"1984",7234514
"1983",7181224
"1982",7109105
"1979",7102100
"1981",7089241
"1980",7071639
